N, T1, Tp, p
1000, 1.3773e-05, 1.3773e-05, 1
1000, 1.3655e-05, 9.1539e-05, 2
1000, 1.3701e-05, 6.5799e-05, 3
1000, 1.3672e-05, 0.000118808, 4
1000, 1.3657e-05, 0.000164401, 5
1000, 1.3657e-05, 0.000140259, 6
1000, 1.3619e-05, 0.000150066, 7
1000000, 0.0134096, 0.0134096, 1
1000000, 0.0134759, 0.00681903, 2
1000, 1.8846e-05, 0.000152567, 8
1000000, 0.0134398, 0.00453283, 3
1000000, 0.0134226, 0.00348537, 4
1000000, 0.0134077, 0.00285789, 5
1000000, 0.0134514, 0.00242598, 6
1000000, 0.0134501, 0.00203141, 7
1000000, 0.0134387, 0.00183285, 8
100000000, 1.34431, 1.34431, 1
100000000, 1.33987, 0.446602, 3
100000000, 1.33973, 0.268176, 5
100000000, 1.34001, 0.669944, 2
100000000, 1.33943, 0.335157, 4
100000000, 1.34032, 0.223525, 6
100000000, 1.33967, 0.191524, 7
100000000, 1.34015, 0.16771, 8
